Team,Wins
PascalSiakam,"{0: '                Pass To  FREQ\xa0M%\n0         Sheppard, Ben      1.2\n1        Walker, Jarace      0.3\n2   Mathurin, Bennedict      2.1\n3       Jackson, Isaiah      0.5\n4          Smith, Jalen      1.5\n5        Nesmith, Aaron      5.2\n6    Haliburton, Tyrese     17.2\n7           Toppin, Obi      0.9\n8      Nembhard, Andrew      7.3\n9          Hield, Buddy      1.4\n10        Turner, Myles      5.0\n11      McConnell, T.J.      4.2\n12      McDermott, Doug      0.4\n13         Dick, Gradey      0.8\n14      Barnes, Scottie     10.4\n15       Flynn, Malachi      3.1\n16   Quickley, Immanuel      2.1\n17    Achiuwa, Precious      1.7\n18     McDaniels, Jalen      0.2\n19          Barrett, RJ      0.9\n20      Trent Jr., Gary      3.8\n21       Porter, Jontay      0.4\n22       Boucher, Chris      0.5\n23          Anunoby, OG      4.6\n24        Poeltl, Jakob      5.6\n25     Porter Jr., Otto      0.4\n26     Schroder, Dennis     18.0\n27      Young, Thaddeus      0.3', 1: '              Pass From  FREQ\xa0R%\n0         Sheppard, Ben      1.4\n1        Walker, Jarace      0.5\n2       Tshiebwe, Oscar      0.0\n3   Mathurin, Bennedict      1.5\n4       Jackson, Isaiah      0.4\n5          Smith, Jalen      1.6\n6        Nesmith, Aaron      4.8\n7    Haliburton, Tyrese     17.2\n8           Toppin, Obi      0.9\n9      Nembhard, Andrew      8.3\n10         Hield, Buddy      1.4\n11        Turner, Myles      3.3\n12      McConnell, T.J.      5.0\n13      McDermott, Doug      0.4\n14         Dick, Gradey      0.5\n15      Barnes, Scottie      9.0\n16       Flynn, Malachi      3.1\n17   Quickley, Immanuel      2.1\n18    Achiuwa, Precious      1.6\n19     McDaniels, Jalen      0.4\n20          Barrett, RJ      0.7\n21      Trent Jr., Gary      3.9\n22       Porter, Jontay      0.3\n23       Boucher, Chris      0.4\n24          Anunoby, OG      3.2\n25        Poeltl, Jakob      6.5\n26     Porter Jr., Otto      0.5\n27     Schroder, Dennis     20.7\n28      Young, Thaddeus      0.5'}"
BenSimmons,"{0: ""                 Pass To  FREQ\xa0M%\n0          Wilson, Jalen      1.5\n1       Watford, Trendon      0.9\n2            Thomas, Cam     25.9\n3        Sharpe, Day'Ron      0.8\n4         Brooks, Armoni      0.3\n5       Johnson, Cameron      4.1\n6           Claxton, Nic      3.7\n7      Walker IV, Lonnie      7.9\n8         Bridges, Mikal     25.5\n9      Smith Jr., Dennis      1.1\n10  Finney-Smith, Dorian     13.6\n11        O'Neale, Royce      8.3\n12    Dinwiddie, Spencer      5.2\n13      Schroder, Dennis      1.2"", 1: ""               Pass From  FREQ\xa0R%\n0          Clowney, Noah      0.2\n1          Wilson, Jalen      2.2\n2       Watford, Trendon      2.2\n3            Thomas, Cam     21.9\n4        Sharpe, Day'Ron      1.0\n5         Brooks, Armoni      0.3\n6       Johnson, Cameron      3.4\n7           Claxton, Nic      7.1\n8      Walker IV, Lonnie      4.1\n9         Bridges, Mikal     18.7\n10     Smith Jr., Dennis      2.2\n11  Finney-Smith, Dorian     18.0\n12        O'Neale, Royce     12.9\n13    Dinwiddie, Spencer      4.3\n14      Schroder, Dennis      1.4""}"
KobiSimmons,"{0: '                  Pass To  FREQ\xa0M%\n0            Dick, Gradey     12.4\n1       Gueye, Mouhamadou     13.3\n2  Freeman-Liberty, Javon      5.3\n3           Agbaji, Ochai      0.9\n4           Nwora, Jordan     15.9\n5        McDaniels, Jalen     14.2\n6         Trent Jr., Gary      3.5\n7            Brown, Bruce     11.5\n8           Olynyk, Kelly      4.4\n9         Temple, Garrett     18.6', 1: '                Pass From  FREQ\xa0R%\n0            Dick, Gradey      6.4\n1       Gueye, Mouhamadou     13.8\n2  Freeman-Liberty, Javon      1.8\n3           Agbaji, Ochai      1.8\n4           Nwora, Jordan     22.9\n5        McDaniels, Jalen     20.2\n6         Trent Jr., Gary      2.8\n7            Brown, Bruce     11.9\n8           Olynyk, Kelly      5.5\n9         Temple, Garrett     12.8'}"
AnferneeSimons,"{0: '                      Pass To  FREQ\xa0M%\n0                 Reath, Duop      8.8\n1             Camara, Toumani      8.9\n2               Rupert, Rayan      1.0\n3              Minaya, Justin      0.6\n4                Murray, Kris      5.7\n5              Walker, Jabari      5.4\n6             Sharpe, Shaedon      3.7\n7            Henderson, Scoot     14.0\n8              Wainright, Ish      0.2\n9                 Badji, Ibou      0.5\n10             Banton, Dalano      3.8\n11             Hagans, Ashton      1.7\n12          Thybulle, Matisse      6.7\n13               Brown, Moses      0.7\n14       Williams III, Robert      0.2\n15             Ayton, Deandre     13.7\n16           Brogdon, Malcolm      8.3\n17              Grant, Jerami     16.0\n18  Caldwell-Pope, Kentavious      0.0', 1: '               Pass From  FREQ\xa0R%\n0            Reath, Duop     10.1\n1        Camara, Toumani      9.7\n2          Rupert, Rayan      1.0\n3         Minaya, Justin      0.5\n4           Murray, Kris      5.6\n5         Walker, Jabari      6.5\n6        Sharpe, Shaedon      3.2\n7       Henderson, Scoot     14.5\n8         Wainright, Ish      0.1\n9            Badji, Ibou      1.0\n10        Banton, Dalano      5.4\n11        Hagans, Ashton      1.6\n12     Thybulle, Matisse      7.6\n13          Brown, Moses      0.9\n14  Williams III, Robert      0.1\n15        Ayton, Deandre     14.7\n16      Brogdon, Malcolm      8.8\n17         Grant, Jerami      8.9'}"
ZavierSimpson,"{0: '              Pass To  FREQ\xa0M%\n0       Jemison, Trey     10.6\n1   Pereira, Maozinha      5.3\n2        Allen, Timmy      9.9\n3         Jackson, GG     16.0\n4         White, Jack      2.7\n5       LaRavia, Jake     13.3\n6     Goodwin, Jordan     12.9\n7  Pippen Jr., Scotty     14.4\n8      Stevens, Lamar      7.6\n9     Clarke, Brandon      7.2', 1: '            Pass From  FREQ\xa0R%\n0       Jemison, Trey      8.1\n1   Pereira, Maozinha      8.8\n2        Allen, Timmy     13.4\n3         Jackson, GG     12.3\n4         White, Jack      6.3\n5       LaRavia, Jake     10.6\n6     Goodwin, Jordan     16.9\n7  Pippen Jr., Scotty     10.6\n8      Stevens, Lamar      7.4\n9     Clarke, Brandon      5.6'}"
JerichoSims,"{0: '               Pass To  FREQ\xa0M%\n0        Toppin, Jacob      0.8\n1       McBride, Miles     20.2\n2       Flynn, Malachi      1.0\n3   Quickley, Immanuel      0.3\n4    Achiuwa, Precious      5.4\n5   Brown Jr., Charlie      0.2\n6       Windler, Dylan      0.5\n7      Grimes, Quentin      2.1\n8          Barrett, RJ      1.5\n9     Jeffries, DaQuan      1.2\n10     Diakite, Mamadi      0.2\n11       Milton, Shake      1.3\n12   DiVincenzo, Donte     12.3\n13      Brunson, Jalen     28.6\n14          Hart, Josh      9.9\n15         Anunoby, OG      1.0\n16   Arcidiacono, Ryan      2.1\n17      Randle, Julius      4.1\n18   Bogdanovic, Bojan      3.1\n19         Burks, Alec      4.1', 1: '             Pass From  FREQ\xa0R%\n0        Toppin, Jacob      0.3\n1       McBride, Miles     21.2\n2       Flynn, Malachi      1.5\n3   Quickley, Immanuel      0.9\n4    Achiuwa, Precious      7.0\n5   Brown Jr., Charlie      0.6\n6       Windler, Dylan      0.9\n7      Grimes, Quentin      3.0\n8          Barrett, RJ      0.3\n9     Jeffries, DaQuan      0.6\n10       Milton, Shake      1.5\n11   DiVincenzo, Donte     16.4\n12      Brunson, Jalen     16.1\n13          Hart, Josh     11.8\n14         Anunoby, OG      0.6\n15   Arcidiacono, Ryan      2.1\n16      Randle, Julius      5.5\n17   Bogdanovic, Bojan      3.9\n18         Burks, Alec      5.8'}"
DmytroSkapintsev,"{0: '              Pass To  FREQ\xa0M%\n0       Toppin, Jacob     33.3\n1      McBride, Miles     33.3\n2  Brown Jr., Charlie     33.3', 1: '        Pass From  FREQ\xa0R%\n0  McBride, Miles      100'}"
JalenSlawson,"{0: '            Pass To  FREQ\xa0M%\n0      Jones, Colby     35.2\n1  Mitchell, Davion     31.5\n2  Edwards, Kessler     18.5\n3      Jones, Mason      1.9\n4   Petrusev, Filip      1.9\n5   Vezenkov, Sasha      1.9\n6     McGee, JaVale      9.3', 1: '          Pass From  FREQ\xa0R%\n0      Jones, Colby     29.4\n1  Mitchell, Davion     23.5\n2  Edwards, Kessler     14.7\n3     Duarte, Chris      5.9\n4      Ford, Jordan      2.9\n5   Petrusev, Filip      2.9\n6   Vezenkov, Sasha      5.9\n7     McGee, JaVale     14.7'}"
MarcusSmart,"{0: '                Pass To  FREQ\xa0M%\n0        Gilyard, Jacob      1.2\n1   Lofton Jr., Kenneth      0.7\n2   Williams Jr., Vince      2.0\n3          Roddy, David      4.5\n4         Aldama, Santi      3.6\n5      Williams, Ziaire      5.8\n6         Bane, Desmond     36.7\n7       Tillman, Xavier      6.7\n8         Konchar, John      1.6\n9            Morant, Ja      7.0\n10   Jackson Jr., Jaren     18.4\n11        Kennard, Luke      6.7\n12     Biyombo, Bismack      4.9\n13        Rose, Derrick      0.3', 1: '              Pass From  FREQ\xa0R%\n0        Gilyard, Jacob      1.3\n1   Lofton Jr., Kenneth      0.4\n2   Williams Jr., Vince      4.2\n3          Roddy, David      3.9\n4         Aldama, Santi      4.1\n5      Williams, Ziaire      6.9\n6         Bane, Desmond     30.8\n7       Tillman, Xavier      9.6\n8         Konchar, John      3.6\n9            Morant, Ja      7.3\n10   Jackson Jr., Jaren     12.5\n11        Kennard, Luke      5.3\n12     Biyombo, Bismack      9.3\n13        Rose, Derrick      0.7'}"
DruSmith,"{0: '               Pass To  FREQ\xa0M%\n0          Cain, Jamal      3.2\n1    Jaquez Jr., Jaime     13.3\n2    Robinson, Orlando      2.1\n3        Jovic, Nikola      0.5\n4         Herro, Tyler     12.8\n5   Highsmith, Haywood      5.9\n6     Robinson, Duncan     11.7\n7        Martin, Caleb      1.6\n8       Bryant, Thomas      4.3\n9         Adebayo, Bam     14.4\n10    Richardson, Josh      9.0\n11       Butler, Jimmy      8.5\n12         Love, Kevin      1.1\n13         Lowry, Kyle     11.7', 1: '             Pass From  FREQ\xa0R%\n0          Cain, Jamal      6.5\n1    Jaquez Jr., Jaime     10.7\n2    Robinson, Orlando      1.8\n3        Jovic, Nikola      0.6\n4        Hampton, R.J.      0.6\n5         Herro, Tyler     13.6\n6   Highsmith, Haywood      7.1\n7     Robinson, Duncan      8.9\n8        Martin, Caleb      1.8\n9       Bryant, Thomas      5.3\n10        Adebayo, Bam     14.2\n11    Richardson, Josh      7.1\n12       Butler, Jimmy      8.3\n13         Love, Kevin      2.4\n14         Lowry, Kyle     11.2'}"
IshSmith,"{0: '             Pass To  FREQ\xa0M%\n0     Mensah, Nathan      0.7\n1       Black, Leaky      2.0\n2    Smith Jr., Nick      3.9\n3    Miller, Brandon     17.7\n4    McGowens, Bryce      6.7\n5     Williams, Mark      1.6\n6           Thor, JT      3.7\n7   Bouknight, James      0.2\n8     Richards, Nick      4.4\n9      Maledon, Theo      0.7\n10      Ball, LaMelo      5.0\n11  Washington, P.J.     15.6\n12      Martin, Cody      2.4\n13    Bridges, Miles     16.9\n14  Ntilikina, Frank      0.8\n15     Rozier, Terry      9.0\n16   Hayward, Gordon      8.5', 1: '           Pass From  FREQ\xa0R%\n0     Mensah, Nathan      1.0\n1       Black, Leaky      2.0\n2    Smith Jr., Nick      2.4\n3    Miller, Brandon     13.9\n4    McGowens, Bryce      5.6\n5     Williams, Mark      3.8\n6           Thor, JT      5.2\n7   Bouknight, James      0.2\n8     Richards, Nick     12.1\n9      Maledon, Theo      0.7\n10      Ball, LaMelo      3.3\n11  Washington, P.J.     19.5\n12      Martin, Cody      2.5\n13    Bridges, Miles     17.7\n14  Ntilikina, Frank      0.7\n15     Rozier, Terry      4.1\n16   Hayward, Gordon      5.1'}"
JalenSmith,"{0: '                Pass To  FREQ\xa0M%\n0         Sheppard, Ben      3.0\n1        Walker, Jarace      1.6\n2        Brown, Kendall      0.1\n3   Mathurin, Bennedict      4.7\n4       Jackson, Isaiah      0.5\n5        Nesmith, Aaron      3.7\n6    Haliburton, Tyrese     23.5\n7           Toppin, Obi      5.3\n8      Nembhard, Andrew     13.7\n9          Brown, Bruce      2.0\n10       Siakam, Pascal      5.3\n11         Hield, Buddy      7.4\n12        Turner, Myles      2.3\n13      McConnell, T.J.     26.3\n14      McDermott, Doug      0.7', 1: '              Pass From  FREQ\xa0R%\n0         Sheppard, Ben      3.3\n1        Walker, Jarace      1.9\n2        Brown, Kendall      0.1\n3   Mathurin, Bennedict      5.2\n4       Jackson, Isaiah      0.2\n5        Nesmith, Aaron      6.0\n6    Haliburton, Tyrese     24.9\n7           Toppin, Obi      4.1\n8      Nembhard, Andrew     14.0\n9          Brown, Bruce      3.3\n10       Siakam, Pascal      4.8\n11         Hield, Buddy      6.7\n12        Turner, Myles      1.8\n13      McConnell, T.J.     22.9\n14      McDermott, Doug      0.8'}"
TerquavionSmith,"{0: '                Pass To  FREQ\xa0M%\n0     Council IV, Ricky     20.4\n1   Lofton Jr., Kenneth      4.6\n2       Springer, Jaden      1.9\n3      Dowtin Jr., Jeff      2.8\n4            Martin, KJ     20.4\n5            Reed, Paul     14.8\n6             Bamba, Mo      6.5\n7     House Jr., Danuel      0.9\n8       Korkmaz, Furkan      5.6\n9          Hield, Buddy      5.6\n10       Payne, Cameron      5.6\n11     Oubre Jr., Kelly      5.6\n12       Harris, Tobias      4.6\n13    Beverley, Patrick      0.9', 1: '              Pass From  FREQ\xa0R%\n0     Council IV, Ricky     14.8\n1   Lofton Jr., Kenneth      3.0\n2       Springer, Jaden      2.2\n3      Dowtin Jr., Jeff      3.0\n4            Martin, KJ     21.5\n5            Reed, Paul     14.1\n6        Bazley, Darius      0.7\n7             Bamba, Mo      7.4\n8     House Jr., Danuel      2.2\n9       Korkmaz, Furkan     14.1\n10         Hield, Buddy      6.7\n11       Payne, Cameron      3.0\n12     Oubre Jr., Kelly      3.7\n13       Harris, Tobias      3.0\n14    Beverley, Patrick      0.7'}"
DennisSmith Jr.,"{0: ""                 Pass To  FREQ\xa0M%\n0          Clowney, Noah      1.5\n1       Whitehead, Dariq      0.2\n2          Wilson, Jalen      2.6\n3       Watford, Trendon      6.4\n4            Thomas, Cam     12.2\n5          Johnson, Keon      0.6\n6        Sharpe, Day'Ron      8.3\n7         Brooks, Armoni      0.4\n8       Johnson, Cameron      7.4\n9           Claxton, Nic      9.8\n10     Walker IV, Lonnie     10.2\n11        Bridges, Mikal     14.3\n12     Bates-Diop, Keita      0.6\n13      Giles III, Harry      0.6\n14  Finney-Smith, Dorian      6.1\n15          Simmons, Ben      0.8\n16        O'Neale, Royce     10.4\n17    Dinwiddie, Spencer      3.5\n18      Schroder, Dennis      4.2"", 1: ""               Pass From  FREQ\xa0R%\n0          Clowney, Noah      1.5\n1       Whitehead, Dariq      0.3\n2          Wilson, Jalen      3.9\n3       Watford, Trendon      7.9\n4            Thomas, Cam      8.4\n5          Johnson, Keon      0.4\n6        Sharpe, Day'Ron      9.8\n7         Brooks, Armoni      0.9\n8       Johnson, Cameron      4.8\n9           Claxton, Nic      8.7\n10     Walker IV, Lonnie      6.6\n11        Bridges, Mikal     13.1\n12     Bates-Diop, Keita      0.6\n13      Giles III, Harry      0.9\n14  Finney-Smith, Dorian      8.4\n15          Simmons, Ben      0.5\n16        O'Neale, Royce     17.1\n17    Dinwiddie, Spencer      3.0\n18      Schroder, Dennis      3.2""}"
JabariSmith Jr.,"{0: ""                  Pass To  FREQ\xa0M%\n0           Whitmore, Cam      2.4\n1          Thompson, Amen      7.5\n2          Williams, Nate      0.1\n3   Samuels Jr., Jermaine      0.0\n4             Eason, Tari      1.2\n5         Sengun, Alperen      9.7\n6          Tate, Jae'Sean      1.9\n7            Green, Jalen     19.7\n8            Hinton, Nate      0.1\n9           Landale, Jock      1.3\n10         Holiday, Aaron      8.0\n11         Brooks, Dillon      5.9\n12         VanVleet, Fred     38.3\n13    Bullock Jr., Reggie      0.7\n14            Green, Jeff      3.2"", 1: ""              Pass From  FREQ\xa0R%\n0         Whitmore, Cam      2.1\n1        Thompson, Amen      9.3\n2        Williams, Nate      0.4\n3           Eason, Tari      1.3\n4       Sengun, Alperen     15.6\n5        Tate, Jae'Sean      3.2\n6          Green, Jalen     17.5\n7          Hinton, Nate      0.2\n8         Landale, Jock      1.9\n9        Holiday, Aaron      6.1\n10       Brooks, Dillon      7.5\n11       VanVleet, Fred     28.5\n12  Bullock Jr., Reggie      1.0\n13          Green, Jeff      5.2""}"
NickSmith Jr.,"{0: '                Pass To  FREQ\xa0M%\n0        Mensah, Nathan      1.5\n1          Black, Leaky      5.7\n2         Bailey, Amari      1.9\n3       Miller, Brandon     11.0\n4       McGowens, Bryce      8.5\n5              Thor, JT      8.4\n6      Bouknight, James      3.1\n7             Mann, Tre      1.5\n8        Richards, Nick      4.2\n9   Pokusevski, Aleksej      3.3\n10        Maledon, Theo      1.1\n11         Ball, LaMelo      3.8\n12      Bolden, Marques      1.1\n13      Williams, Grant      2.7\n14     Washington, P.J.      7.9\n15         Martin, Cody      3.6\n16       Bridges, Miles     10.5\n17        Rozier, Terry     12.0\n18      Micic, Vasilije      0.7\n19       Bertans, Davis      2.6\n20           Smith, Ish      3.6\n21      Hayward, Gordon      1.1', 1: '              Pass From  FREQ\xa0R%\n0        Mensah, Nathan      3.4\n1          Black, Leaky      6.8\n2         Bailey, Amari      1.5\n3       Miller, Brandon      8.5\n4       McGowens, Bryce      7.0\n5              Thor, JT     11.4\n6      Bouknight, James      3.4\n7             Mann, Tre      1.1\n8        Richards, Nick      5.9\n9   Pokusevski, Aleksej      3.0\n10        Maledon, Theo      1.3\n11         Ball, LaMelo      1.9\n12      Bolden, Marques      1.8\n13      Williams, Grant      1.6\n14     Washington, P.J.      9.4\n15         Martin, Cody      2.2\n16       Bridges, Miles     12.2\n17        Rozier, Terry     10.1\n18      Micic, Vasilije      0.3\n19       Bertans, Davis      1.5\n20           Smith, Ish      5.0\n21      Hayward, Gordon      0.8'}"
JeremySochan,"{0: ""                   Pass To  FREQ\xa0M%\n0       Wembanyama, Victor     14.0\n1         Barlow, Dominick      0.8\n2            Wesley, Blake      4.1\n3          Branham, Malaki     10.0\n4       Champagnie, Julian      4.1\n5   Mamukelashvili, Sandro      0.3\n6               Jones, Tre     19.7\n7           Vassell, Devin     16.4\n8          Bassey, Charles      0.8\n9          Johnson, Keldon     11.9\n10        Graham, Devonte'      0.2\n11           Collins, Zach     11.8\n12             Osman, Cedi      3.1\n13         McDermott, Doug      2.8"", 1: ""                 Pass From  FREQ\xa0R%\n0       Wembanyama, Victor     13.3\n1         Barlow, Dominick      1.2\n2            Wesley, Blake      3.1\n3          Branham, Malaki      9.9\n4       Champagnie, Julian      6.5\n5   Mamukelashvili, Sandro      0.5\n6               Jones, Tre     17.2\n7           Vassell, Devin     16.8\n8          Bassey, Charles      1.4\n9          Johnson, Keldon     13.0\n10        Graham, Devonte'      0.1\n11           Collins, Zach     10.5\n12             Osman, Cedi      3.7\n13         McDermott, Doug      2.8""}"
